Gene Set,ES,NES,P-value,FDR
chemicalPathway,0.62816156273235,3.6187295146504685,0.0,0.0
cellcyclePathway,0.6259905593211466,3.409955900958288,0.0,0.0
p53Pathway,0.5701207124756439,2.6656511536299865,0.0,0.0
g1Pathway,0.45110811799627987,2.5707233296769414,0.0,0.026682072226999143
GO_0005739,0.18728077213983377,2.4684327764007064,0.0,0.028460877042132415
ST_p38_MAPK_Pathway,0.32915321450984963,2.2300826526336777,0.0,0.18578628069169772
Cell_Cycle,0.21351824688408882,2.3106487592447533,0.0,0.20159787904843793
nfatPathway,0.2685633604820052,2.231037004575019,0.02631578947368421,0.20900956577815993
p35alzheimersPathway,0.5329588352025124,1.9506824569322336,0.0,0.23779811739150108
caspasePathway,0.3921878477535442,2.2349552349313715,0.0,0.2388680751750399
raccycdPathway,0.4056365904270378,1.9132847685596972,0.022727272727272728,0.2410280524505589
caspase_activity,0.5395878718812036,1.974945391893373,0.0,0.25100912391325114
ptc1Pathway,0.5462503360016107,1.9993306746229111,0.0,0.2542644529866977
pparaPathway,0.3074478824013787,2.0102312305769856,0.022727272727272728,0.2590384512037833
MAP00071_Fatty_acid_metabolism,0.33650161318704797,2.056503872476821,0.02127659574468085,0.26173842279818205
d4gdiPathway,0.5596424115182181,2.081771867476812,0.0,0.26830305961593576
ST_JNK_MAPK_Pathway,0.28553055252553344,2.0328990207591686,0.02564102564102564,0.27275007165376897
ST_Integrin_Signaling_Pathway,0.18094503107788928,1.885123863251553,0.0,0.28137457984835457
SA_REG_CASCADE_OF_CYCLIN_EXPR,0.5535036192486822,2.0589366341492745,0.0,0.28187214762881146
cacamPathway,0.5640112633901075,2.0980232321569825,0.0,0.2926942468537481
plk3Pathway,0.6099052472231438,1.8952676624412028,0.022222222222222223,0.2947733693649429
hivnefPathway,0.24334518020453488,2.101014694326236,0.05,0.3219636715391229
mitochondriaPathway,0.38687971874585003,1.8088912506138382,0.022222222222222223,0.36243148108340495
fmlppathway,0.2751811910918814,1.8092986087181435,0.09090909090909091,0.3781893715652921
rac1Pathway,0.3091607133081498,1.7618097006345148,0.07142857142857142,0.3844955023480389
eif4Pathway,0.3088525574717426,1.7792458687487223,0.047619047619047616,0.39204858125537406
fcer1Pathway,0.2379234819778504,1.6939497691236787,0.02564102564102564,0.4274521873941478
MAP00062_Fatty_acid_biosynthesis_path_2,0.4720060398187017,1.7275891506527714,0.022727272727272728,0.42813991757345743
il2Pathway,0.45675724906350035,1.6990570617887144,0.022727272727272728,0.44081006825021496
ephA4Pathway,0.4731617740503985,1.7318192531329946,0.022727272727272728,0.44343062891536666
betaoxidationPathway,0.4651034110073209,1.7023248412170169,0.022727272727272728,0.44584881979308244
ST_Differentiation_Pathway_in_PC12_Cells,0.24398621058630401,1.7371147297285574,0.02564102564102564,0.45063055316709655
breast_cancer_estrogen_signalling,0.1765361001881812,1.6796216589373898,0.0,0.45882700672702437
CR_SIGNALLING,0.12339373753507876,1.703759364127177,0.047619047619047616,0.46071044711951853
rasPathway,0.35270330581544707,1.6490963290098357,0.022222222222222223,0.5100722807394669
bcl2family_and_reg_network,0.3530150469135104,1.650553902817456,0.022222222222222223,0.5231510571686839
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES,0.27929174622085984,1.5915958484305022,0.14285714285714285,0.5297744775505626
MAP00010_Glycolysis_Gluconeogenesis,0.2646633454979764,1.6174697938720277,0.0851063829787234,0.5311593913095642
epoPathway,0.43582803448651986,1.6212040449014744,0.022727272727272728,0.5315238197600622
rbPathway,0.45451433836426364,1.6635677799288893,0.022727272727272728,0.53211675469844
MAPK_Cascade,0.34019593528025177,1.6046178196409593,0.045454545454545456,0.5332461545810643
CR_PROTEIN_MOD,0.12350868660513875,1.6506741503566011,0.08695652173913043,0.5364500837217722
MAP00280_Valine_leucine_and_isoleucine_degradation,0.2850512614687357,1.6244175149549487,0.14285714285714285,0.5440539605310069
at1rPathway,0.2455384213882606,1.6054395923171922,0.09090909090909091,0.544152563902134
gpcrPathway,0.24367042548179207,1.650918675170802,0.12195121951219512,0.5509487346331714
Glycogen_Metabolism,0.24468855267141815,1.657816702240478,0.12195121951219512,0.5534059424859081
shh_lisa,0.3379286452741104,1.5800160622265305,0.044444444444444446,0.5756515157058962
MAP00650_Butanoate_metabolism,0.285899941987345,1.5573816246056698,0.16279069767441862,0.5862795462122941
SIG_CHEMOTAXIS,0.21981867813687592,1.5650485441100697,0.07692307692307693,0.5958996130696473
CR_CELL_CYCLE,0.14242776434753737,1.5413227758014418,0.06666666666666667,0.6606481083404988
bcrPathway,0.21934235001494007,1.4421618248701138,0.18181818181818182,0.661545981247185
rnaPathway,0.37824610125156627,1.3844184304292126,0.13636363636363635,0.6663106370020063
hifPathway,0.485081331609616,1.5073799834308697,0.1111111111111111,0.667710622273176
mtorPathway,0.2642366654625838,1.5058016767197864,0.16666666666666666,0.6685071914328148
gcrPathway,0.26834471389758163,1.4617530999801946,0.20930232558139536,0.6691270779593007
HTERT_DOWN,0.17115418228759496,1.4777258036480598,0.15,0.6713454724701277
srcRPTPPathway,0.6399094747441759,1.4759266653379783,0.0851063829787234,0.6717249369689727
il4Pathway,0.4642947866436269,1.4427862343734763,0.1111111111111111,0.6722160777189138
fasPathway,0.2260627667839543,1.5316230630224736,0.12195121951219512,0.6724579771719522
egfPathway,0.24362850892290133,1.3883622720965405,0.16666666666666666,0.6731899349666357
il6Pathway,0.3886691629638473,1.4457812927703,0.06818181818181818,0.674196185670186
igf1mtorPathway,0.2450435916371973,1.396426383563258,0.16666666666666666,0.6751834848298734
tcrPathway,0.21311175665873278,1.5172971074087152,0.07692307692307693,0.67628145330067
mprPathway,0.29193414406649487,1.376979208598797,0.20454545454545456,0.678138876783001
metPathway,0.22609107692000457,1.4865342696273387,0.1590909090909091,0.6784869794865496
FA,0.29955412110038193,1.4129207048537638,0.18181818181818182,0.6815211881264357
appPathway,0.6588865510039975,1.519696564030634,0.0851063829787234,0.6817611531847344
PGC,0.09379072688159149,1.3992839869922373,0.0,0.6821329769337171
MAP00120_Bile_acid_biosynthesis,0.31405824077908373,1.481332953446556,0.13636363636363635,0.6828113921950189
pgc1aPathway,0.29828315643897185,1.4069258873608608,0.20454545454545456,0.6832703201658995
MAP00350_Tyrosine_metabolism,0.4590219727827236,1.4264010767672073,0.1111111111111111,0.6867854215928633
MAP00562_Inositol_phosphate_metabolism,0.38659196290571013,1.4149651159167247,0.13636363636363635,0.6896911396857657
MAP00640_Propanoate_metabolism,0.30364076496680387,1.4196999647814597,0.2,0.7000281103247569
ST_ERK1_ERK2_MAPK_Pathway,0.20757244967180216,1.3647754881401435,0.20454545454545456,0.7044067067927773
ptdinsPathway,0.2898354307841178,1.3670801111023934,0.20454545454545456,0.713685337314959
ecmPathway,0.3611923454246343,1.343572338295689,0.1590909090909091,0.7475541261547279
mef2dPathway,0.28509156277721004,1.3447044906187506,0.22727272727272727,0.7572626212995945
pyk2Pathway,0.22003307893790353,1.3447153332286417,0.19148936170212766,0.7672266031587998
MAP00410_beta_Alanine_metabolism,0.36299101777958037,1.3285833044451723,0.1590909090909091,0.7876277523210379
keratinocytePathway,0.195558900129099,1.2786512152442704,0.20454545454545456,0.789865031741095
ST_ADRENERGIC,0.23669299492942936,1.289336816277818,0.23255813953488372,0.7903248920570641
hcmvPathway,0.32286044718579987,1.328042725603186,0.14634146341463414,0.7909010909286328
badPathway,0.276466565049304,1.2926445258648285,0.3111111111111111,0.7944025020551245
rhoPathway,0.27585393092231414,1.3011329274446113,0.29545454545454547,0.7944661955230081
insulinPathway,0.2603728412506451,1.2281125595376412,0.3181818181818182,0.7952874618932229
CR_REPAIR,0.15647040083854238,1.229455098958322,0.25,0.7978510771730813
ST_Ga13_Pathway,0.1996180756856035,1.3051919134931762,0.20454545454545456,0.798036523880247
G13_Signaling_Pathway,0.21101739463943092,1.2896166681814363,0.2127659574468085,0.798915380014206
MAP00380_Tryptophan_metabolism,0.2767845010262653,1.305522190267505,0.2727272727272727,0.7994398651920815
stat3Pathway,0.5345524542829831,1.232924737695949,0.2553191489361702,0.801127140572641
VOXPHOS,0.18875515039109547,1.2410529572748425,0.25,0.8021725560552946
Fatty_Acid_Degradation,0.2773684242456854,1.2968612504191896,0.3111111111111111,0.8024386166045666
igf1Pathway,0.25985036638856407,1.2256481783176862,0.3181818181818182,0.803026209786743
MAP_kinase_activity,0.5338591766063633,1.2313257193194576,0.2553191489361702,0.8035915456514123
