Gene Set,ES,NES,P-value,FDR
classicPathway,0.9141414141414141,1.8091827826366247,0.0,0.12205902539464654
compPathway,0.9141414141414141,1.8091827826366247,0.0,0.12205902539464654
alternativePathway,0.9141414141414141,1.8091827826366247,0.0,0.12205902539464654
lechtinPathway,0.9141414141414141,1.8091827826366247,0.0,0.12205902539464654
Complement_Activation_Classical,0.9141414141414141,1.8091827826366247,0.0,0.12205902539464654
ST_Tumor_Necrosis_Factor_Pathway,-0.46821352405721167,-0.7950563160972933,0.6037735849056604,1.0
ST_Wnt_beta_catenin_Pathway,-0.1267989662721244,-0.26334148710226446,1.0,1.0
ST_Wnt_Ca2_cyclic_GMP_Pathway,-0.20435063932628797,-0.34700037087145885,0.9433962264150944,1.0
tcrPathway,0.5495798319327744,0.8399526612220558,0.6808510638297872,1.0
TGF_Beta_Signaling_Pathway,-0.21355893788075686,-0.7013966655913123,0.8235294117647058,1.0
41bbPathway,-0.46821352405721167,-0.7950563160972933,0.6037735849056604,1.0
tnfr2Pathway,-0.36988178247308967,-0.6280827704767908,0.7547169811320755,1.0
tob1Pathway,0.34609840231480415,0.5289609574038757,0.9574468085106383,1.0
tollPathway,0.34545355216609186,0.6836892072837136,0.825,1.0
tpoPathway,0.5495798319327744,0.8399526612220558,0.6808510638297872,1.0
tsp1Pathway,-0.30303030303030243,-0.6293462240519313,0.8666666666666667,1.0
vipPathway,0.15585195305734534,0.23819699181243803,1.0,1.0
vitcbPathway,0.7351913145625788,1.1236327559591315,0.2978723404255319,1.0
tnf_and_fas_network,-0.6593418157188575,-1.1196043004308454,0.4339622641509434,1.0
tnfr1Pathway,-0.2688489809076094,-0.456522653371279,0.9433962264150944,1.0
ST_Integrin_Signaling_Pathway,0.2323228638511129,0.5902209136108407,0.8913043478260869,1.0
Wnt_Signaling,0.19658119658119813,0.300445703463862,1.0,1.0
muscle_myosin,0.2337071574551759,0.3571873228330714,0.9787234042553191,1.0
nfatPathway,0.45868465430016614,0.9077855640080639,0.675,1.0
ngfPathway,0.5495798319327744,0.8399526612220558,0.6808510638297872,1.0
nktPathway,0.3207262084356211,0.49018325754739955,0.9787234042553191,1.0
p38mapkPathway,-0.2690063377727716,-0.4567898553274387,0.9433962264150944,1.0
p53_signalling,-0.3942390205407919,-0.8187723685392229,0.65,1.0
p53hypoxiaPathway,0.37331081081080864,0.5705511570553007,0.9574468085106383,1.0
ST_p38_MAPK_Pathway,0.36161267585103063,0.5526722629986457,0.9574468085106383,1.0
pdgfPathway,0.5495798319327744,0.8399526612220558,0.6808510638297872,1.0
SA_B_CELL_RECEPTOR_COMPLEXES,0.4309764309764327,0.6586846515992945,0.9148936170212766,1.0
SA_DAG1,-0.48551883081392017,-0.8244418266218484,0.6037735849056604,1.0
SIG_CD40PATHWAYMAP,-0.2604621973503305,-0.5409389713553092,0.9166666666666666,1.0
SIG_CHEMOTAXIS,0.264576080579269,0.40436597208582037,0.9787234042553191,1.0
SIG_Regulation_of_the_actin_cytoskeleton_by_Rho_GTPases,0.2584316082974407,0.6565507045961103,0.8478260869565217,1.0
ST_Differentiation_Pathway_in_PC12_Cells,0.2051459393054699,0.40600556497909546,1.0,1.0
ST_GRANULE_CELL_SURVIVAL_PATHWAY,0.17734312938678487,0.3509808562899621,1.0,1.0
pparaPathway,0.43644281612779307,1.1087917624798176,0.34782608695652173,1.0
GO_0005739,0.22116807611007164,0.3380231648106415,1.0,1.0
MYC_MUT,-0.6252100840336116,-1.0616464511561263,0.4528301886792453,1.0
PGC,0.0939140342605977,0.4538937525254908,1.0,1.0
ANDROGEN_UP_GENES,-0.11228498042223072,-0.3396367283320797,1.0,1.0
ANDROGEN_GENES_FROM_NETAFFX,-0.16604000121457993,-0.41521104887793236,1.0,1.0
